,forecast,lower_95,upper_95
2024-12-31,250.59687316027458,246.2803506166312,254.91339570391796
2025-01-01,250.82503065020464,244.80591646780815,256.84414483260116
2025-01-02,251.15086586102973,243.8507587841965,258.45097293786296
2025-01-03,251.22225920280695,242.85127595146412,259.5932424541498
2025-01-04,251.32273880883307,242.0110293103691,260.634448307297
2025-01-05,251.21265596676145,241.04639945109017,261.3789124824327
2025-01-06,251.3826642191174,240.4303055414156,262.33502289681917
2025-01-07,251.67812196870057,239.993415512062,263.3628284253391
2025-01-08,251.73346912921977,239.36018137068123,264.1067568877583
2025-01-09,251.8246329406994,238.79936508463396,264.8499007967648
2025-01-10,251.7100901079146,238.0605533379086,265.35962687792056
2025-01-11,251.87773913800766,237.63141238358608,266.1240658924292
2025-01-12,252.17194870089023,237.35293889813383,266.9909585036466
2025-01-13,252.22663553022335,236.856314647823,267.5969564126237
2025-01-14,252.31745020751157,236.41494539381753,268.21995502120564
2025-01-15,252.20272256020814,235.78234721225024,268.623097908166
2025-01-16,252.37027381824728,235.4479437482187,269.2926038882759
2025-01-17,252.66443165702884,235.25467297874496,270.0741903353127
2025-01-18,252.71909112288193,234.83521637650503,270.60296586925887
2025-01-19,252.80989132408365,234.46416641797617,271.15561623019113
2025-01-20,252.69515601855693,233.89635817349574,271.4939538636181
2025-01-21,252.86270322518388,233.62155907380847,272.1038473765593
2025-01-22,253.15685892065625,233.48336891013017,272.8303489311823
2025-01-23,253.21151725263945,233.1150115397206,273.3080229655583
2025-01-24,253.3023168539926,232.79153438837534,273.8130993196099
2025-01-25,253.18758123112934,232.2684124328333,274.10675002942537
2025-01-26,253.35512826987653,232.03544668530697,274.6748098544461
2025-01-27,253.64928387653583,231.93653230469195,275.36203544837974
2025-01-28,253.70394216153448,231.6051415667161,275.80274275635287
2025-01-29,253.79474173803146,231.31653756087647,276.2729459151864
